Sno,Layer,Module,Epic,Story,Task,Description,Priority,Phase,Status,Notes
JSV2S1072,Preparation,Preparation,Case Study Interview,Case Study Guide,Define template variations,Finalise the case types/variations for which reusable templates should exist.,,Phase 3,Not Started,
JSV2S1073,Preparation,Preparation,Case Study Interview,Case Study Guide,Claude practice workflow,Explore a practice environment through Claude; currently marked as ambitious.,,Phase 3,Not Started,
JSV2S1074,Applications,Application Management,Application Dashboard,Unified Application Workspace,Create unified application dashboard,"Provide a single workspace to view and manage all jobs that have progressed into an application, from Ready to Apply through final outcome.",P0,Phase 1,Completed,"/applications with per-row score, match, visa signal, referral, status and next action."
JSV2S1075,Applications,Application Management,Application Dashboard,Application Views,Define application lifecycle views,"Organise applications across key stages such as Ready to Apply, Applied, In Process, Pending and Closed.",P0,Phase 1,Completed,Five views that partition cleanly; Pending is carved out of Active so counts sum to the total.
JSV2S1076,Applications,Application Management,Application Dashboard,Application Detail,Create application detail view,"Provide a consolidated view of everything relevant to an application - job, score, resume, cover letter, referral, outreach and application history.",P0,Phase 1,Completed,Outreach section deferred (C4); all other sections present.
JSV2S1077,Applications,Application Management,Application Dashboard,Job Context,Display original job information,"Retain access to the original job posting, source, job link and relevant posting information.",P0,Phase 1,Completed,Job panel with posting metadata plus original and direct-apply links.
JSV2S1078,Applications,Application Management,Application Preparation,Resume & Cover Letter,Attach tailored resume and cover letter,Store and surface the role-specific CV and CL prepared for the application.,P0,Phase 1,Completed,"application_documents, versioned; markdown in Postgres so no Storage dependency."
JSV2S1079,Applications,Application Management,Application Preparation,Resume & Cover Letter,Download application material,Allow the user to download the final resume and cover letter for application.,P0,Phase 1,Completed,Markdown download with company-role-type-version filenames. PDF export deferred per PRD.
JSV2S1080,Applications,Application Management,Application Preparation,Job Score,Display post-qualification Job Score,Show the score used to determine the application opportunity.,P0,Phase 1,Completed,Score plus match category and visa signal.
JSV2S1081,Applications,Application Management,Application Preparation,Job Score,Display detailed score analysis,"Provide the reasoning, strengths, weaknesses and relevant signals behind the Job Score.",P0,Phase 1,Completed,Strengths/gaps/visa signals plus the full report behind a disclosure.
JSV2S1082,Applications,Application Management,Application Lifecycle,Application Status,Define application status model,"Track progression from application submission through shortlist, interview and final outcomes.",P0,Phase 1,Completed,ADR-0001. Nine statuses; conflict across three source documents resolved; offer restored.
JSV2S1083,Applications,Application Management,Application Lifecycle,Application Status,Track application outcomes,"Support Applied, Shortlisted, Interview, Rejected - Application/Screening/Interview/Visa and Deemed Pending.",P0,Phase 1,Completed,"Transactional status change updates application, attempt outcome and timeline together."
JSV2S1084,Applications,Application Management,Application Lifecycle,Application Status,Track status history,Maintain visibility of how the application progressed over time.,P0,Phase 1,Completed,application_events append-only; one event per transition.
JSV2S1085,Applications,Application Management,Application Lifecycle,Pending Applications,Define deemed-pending logic,Identify applications that have not received a response after the defined waiting period.,P0,Phase 1,Completed,"Derived not stored (C2). Waiting period is DEEMED_PENDING_DAYS, currently 21 - C1 still open."
JSV2S1086,Applications,Application Management,Referral Management,Referral Tracking,Capture referral status,Record whether the application has a referral and its current state.,P0,Phase 1,Completed,Not Needed / Needed / Requested / Secured.
JSV2S1087,Applications,Application Management,Referral Management,Referral Tracking,Manage referral information,Maintain relevant information about the referral associated with the application.,P0,Phase 1,Completed,Referrer name and notes on the application record.
JSV2S1088,Applications,Application Management,Referral Management,Referral Tracking,Link referral to application outcome,Enable referral activity to be associated with the eventual application outcome.,P0,Phase 1,Completed,Referral changes append timeline events; enables the Phase 3 referral comparison.
JSV2S1089,Applications,Application Management,Outreach,Outreach Generation,Generate custom outreach messages,"Generate role/company-specific messages using predefined recruiter, hiring manager and referral formats.",P0,Phase 2,Not Started,"Phase 2 (C4 resolved 2026-08-29): lives on the Application board, invoked on request. Needs its own table - many messages per application."
JSV2S1090,Applications,Application Management,Outreach,Outreach Management,Manage outreach history,Maintain visibility of messages generated and outreach performed for each application.,P0,Phase 2,Not Started,"Phase 2 (C4 resolved 2026-08-29): lives on the Application board, invoked on request. Needs its own table - many messages per application."
JSV2S1091,Applications,Application Management,Outreach,Outreach,Support recruiter/hiring manager outreach,Enable generation and execution of relevant outreach for the application.,P0,Phase 2,Not Started,"Phase 2 (C4 resolved 2026-08-29): lives on the Application board, invoked on request. Needs its own table - many messages per application."
JSV2S1092,Applications,Application Management,Outreach,Outreach,Support referral outreach,Enable generation of referral-specific outreach when required.,P0,Phase 2,Not Started,"Phase 2 (C4 resolved 2026-08-29): lives on the Application board, invoked on request. Needs its own table - many messages per application."
JSV2S1093,Applications,Application Management,Outreach,Outreach,Support communication channels,"Enable supported outreach through Gmail and LinkedIn, subject to platform capabilities.",P0,Phase 2,Not Started,"Phase 2 (C4 resolved 2026-08-29): lives on the Application board, invoked on request. Needs its own table - many messages per application."
JSV2S1094,Applications,Application Management,Application Attempts,Multiple Application Attempts,Track application attempts,Allow multiple attempts against the same job opportunity to be captured independently.,P0,Phase 1,Completed,Parent application with child application_attempts.
JSV2S1095,Applications,Application Management,Application Attempts,Multiple Application Attempts,Capture attempt details,"Record relevant information for each application attempt, including timing and outcome.",P0,Phase 1,Completed,"Channel, email_used, notes, applied_at, outcome per attempt."
JSV2S1096,Applications,Application Management,Application Attempts,Reapplication,Track reapplication outcome,Understand whether subsequent applications resulted in a different outcome from the original attempt.,P0,Phase 1,Completed,Each attempt carries its own outcome; verified by integration test.
JSV2S1097,Applications,Application Management,Application History,Application Timeline,Provide application activity timeline,"Provide a chronological view of application, referral, outreach, status and attempt activity.",P0,Phase 1,Completed,Outreach events will appear here once C4 is resolved.
JSV2S1098,Applications,Application Management,Application History,Application History,Maintain application record,Preserve the complete history of an application for future analysis and learning.,P0,Phase 1,Completed,Append-only events; documents versioned rather than overwritten.
JSV2S1099,Insights,Application Analytics,Application Funnel,Core Application Metrics,Total Applications,Measure total number of applications submitted over the selected period.,,Phase 3,Not Started,Computable from application_events today.
JSV2S1100,Insights,Application Analytics,Application Funnel,Core Application Metrics,Awaiting Response,Measure applications currently awaiting an employer response.,,Phase 3,Not Started,
JSV2S1101,Insights,Application Analytics,Application Funnel,Funnel Conversion,Shortlist Rate,Measure the percentage of applications progressing to shortlist.,,Phase 3,Not Started,
JSV2S1102,Insights,Application Analytics,Application Funnel,Funnel Conversion,Interview Rate,Measure the percentage of applications progressing to interview.,,Phase 3,Not Started,
JSV2S1103,Insights,Application Analytics,Application Funnel,Funnel Conversion,Conversion Rate,Measure movement from application to the defined successful outcome.,,Phase 3,Not Started,Depends on the offer status restored in ADR-0001.
JSV2S1104,Insights,Application Analytics,Rejection Analysis,Rejection Metrics,Overall Rejection Rate,Measure the overall proportion of applications resulting in rejection.,,Phase 3,Not Started,
JSV2S1105,Insights,Application Analytics,Rejection Analysis,Rejection Metrics,Application-stage rejection,Measure rejection occurring after application and before further progression.,,Phase 3,Not Started,
JSV2S1106,Insights,Application Analytics,Rejection Analysis,Rejection Metrics,Screening rejection,Measure rejection occurring after screening.,,Phase 3,Not Started,
JSV2S1107,Insights,Application Analytics,Rejection Analysis,Rejection Metrics,Interview rejection,Measure rejection occurring after interview.,,Phase 3,Not Started,
JSV2S1108,Insights,Application Analytics,Rejection Analysis,Rejection Metrics,Visa rejection,Measure rejection specifically attributable to visa/sponsorship.,,Phase 3,Not Started,
JSV2S1109,Insights,Application Analytics,Response Analysis,Ghosting,Ghost Rate,Measure applications that receive no meaningful response after the defined waiting period.,,Phase 3,Not Started,Shares the derived deemed-pending definition (C2); waiting period is C1.
JSV2S1110,Insights,Application Analytics,Referral Analysis,Referral Impact,Referral vs non-referral performance,Compare application outcomes where a referral was present vs absent.,,Phase 3,Not Started,
JSV2S1111,Insights,Application Analytics,Referral Analysis,Referral Impact,Referral shortlist performance,Understand whether referrals improve shortlist rate.,,Phase 3,Not Started,
JSV2S1112,Insights,Application Analytics,Referral Analysis,Referral Impact,Referral interview performance,Understand whether referrals improve interview conversion.,,Phase 3,Not Started,
JSV2S1113,Insights,Application Analytics,Referral Analysis,Referral Impact,Referral conversion performance,Understand whether referrals improve eventual conversion.,,Phase 3,Not Started,
JSV2S1114,Insights,Application Analytics,Performance Analysis,Country Analysis,Analyse application performance by country,"Understand differences in application, shortlist and interview performance across countries.",,Phase 3,Not Started,raw_jobs.country is captured at upload.
JSV2S1115,Insights,Application Analytics,Performance Analysis,Time Analysis,Analyse performance over time,Track how application performance changes across periods.,,Phase 3,Not Started,Depends on event timestamps captured from Phase 1.
JSV2S1116,Insights,Application Analytics,Performance Analysis,Score Analysis,Analyse Job Score vs outcome,Understand whether higher-scoring jobs actually produce better application outcomes.,,Phase 3,Not Started,
JSV2S1117,Insights,Application Analytics,Performance Analysis,Source Analysis,Analyse source performance,Understand which job sources generate better opportunities and outcomes.,,Phase 3,Not Started,
JSV2S1118,Insights,Application Analytics,Dashboard,KPI Dashboard,Application performance dashboard,Provide a consolidated view of the key application performance metrics.,,Phase 3,Not Started,
JSV2S1119,Insights,Application Analytics,Dashboard,Funnel Dashboard,Application funnel,Visualise progression from Application to Shortlist to Interview to Outcome.,,Phase 3,Not Started,
JSV2S1120,Insights,Application Analytics,Dashboard,Rejection Dashboard,Rejection breakdown,Show where applications are being lost across the application lifecycle.,,Phase 3,Not Started,
JSV2S1121,Insights,Application Analytics,Dashboard,Referral Dashboard,Referral performance,Show the measurable impact of referrals on application outcomes.,,Phase 3,Not Started,
JSV2S1122,Insights,Application Analytics,Filters,Analytics Filters,Country filter,Filter analytics by country.,,Phase 3,Not Started,
JSV2S1123,Insights,Application Analytics,Filters,Analytics Filters,Date filter,Filter analytics by selected date range.,,Phase 3,Not Started,
JSV2S1124,Insights,Application Analytics,Filters,Analytics Filters,Referral filter,Filter analytics for referred vs non-referred applications.,,Phase 3,Not Started,
JSV2S1125,Documentation,Project Documentation,Document Generation,Consolidated Requirement Document,[Platform] Define instructions to generate a formatted requirement document on request,"Define a repeatable instruction set that assembles a well-structured, formatted requirement document (PDF or DOCX) on request. Combines the base PRD with artifacts from docs, design, architecture, images and markdown, plus the changelog and project-management updates. Covers tech arrangements, module architecture, principles, feature logic and explanation, diagrams, data flow diagrams, trade-offs, decisions, risks, test cases and a user-flow walkthrough, whichever apply. Repeatable so it can be regenerated at any point.",,Phase 4,Not Started,"Raised 2026-08-29. Ad-hoc generation only - not a build step. Note: macOS textutil flattens tables to one cell per line, so a real renderer is needed for tabular content; assess a headless-browser or pandoc route against the zero-cost constraint when picked up."
JSV2S1126,Optimization,Intelligence,CV Optimiser,Resume Tailoring,[Functional] Review and accept CV/CL recommendations before download,"Present the generated CV and cover letter alongside the identified gaps and the recommendations that would raise the score. The user accepts recommendations wholly or partially - insert, modify or delete - and a new markdown revision is generated from the accepted set. On download, the .docx is generated and also persisted to Supabase Storage with its link recorded against the application, so the exact file that was submitted is retained.",,Phase 1.5,Completed,"COMPLETED 2026-09-05. Accept / discard / undo per recommendation plus accept-all, rendered as a git-style diff - struck red for what goes, green for what arrives. NO AI CALL: SimG quotes before/after verbatim and the revision is literal substitution, which is the entire reason the contract demands exact text. contentMd is never mutated; the current CV is DERIVED by replaying accepted edits, so undo is a recompute and no revision history is kept (user decision 2026-09-05). Download and screen both read the derived text, so they cannot disagree. Page fit is re-checked on every accept and blocks an overflow. Unapplicable recommendations are rejected at settle time and counted, never dropped silently."
JSV2S1127,Intelligence,Intelligence,Post Qualification,Job Scorer Agent,[Functional] Ingest the UK licensed sponsor register for deterministic lookup,"Download the published Register of Licensed Sponsors (Workers) from gov.uk on a schedule, store it locally, and resolve a company to a sponsor-licence record deterministically before scoring. Inject the confirmed result into the ScoreG prompt instead of asking the model to establish it by web search. Must handle legal-entity mismatch, where the trading name differs from the registered name.",,Phase 1.5,Completed,"COMPLETED 2026-09-05. The register is loaded: 143,071 licences, copy dated 2026-09-03, in sponsor_licences (migration 0008, applied). THE MEASURED FAILURE IS FIXED - ""Visa"" and ""Visa Inc"" both now resolve to VISA EUROPE LIMITED, Worker (A rating), Skilled Worker. Deterministic ladder: verified alias, then exact normalised name, then core name with qualifiers stripped (reported PROBABLE, never confirmed, so NORTHERN TRUST and TRUST cannot merge). No AI, no embeddings, no substring matching - a substring search for NIUM matches ""alumiNIUM"", which is why. CRITICAL DISTINCTION: an unloaded register returns `unknown` and the prompt says ""could not be checked"", never ""not a sponsor"" - a missing refresh must not fabricate an absence. 17 unit tests. ALIAS AUDIT: scripts/audit-sponsor-aliases.mts (npm run sponsors:audit) checks every alias against the loaded register. Its first run found 9 of 24 hand-written aliases WRONG - Adyen is listed as ADYEN N.V. LONDON BRANCH, Klarna as Klarna Bank AB UK Branch, Mollie as Mollie B.V.; Apple, AWS, Nium and Thunes hold no licence under the guessed names and were removed rather than guessed again. Run the audit after every refresh: companies lose licences, and a stale alias reports confirmed for a licence that no longer exists."
JSV2S1128,Insights,AI Usage Analytics,Usage & Cost Analytics,Infrastructure Usage,[Functional] Track Supabase consumption,"Record database size, row counts, storage used and monthly active connections against the free-tier limits, with a warning threshold before the project is at risk of pausing or exceeding quota.",,Phase 3,Not Started,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables."
JSV2S1129,Insights,AI Usage Analytics,Usage & Cost Analytics,Infrastructure Usage,[Functional] Track Vercel consumption,"Record build minutes, serverless invocations, bandwidth and function duration against the free-tier allowance, so an overage is visible before it bills.",,Phase 3,Not Started,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables."
JSV2S1130,Insights,AI Usage Analytics,Usage & Cost Analytics,AI Spend,[Functional] Track Claude API spend,"Aggregate measured token usage per model and task into cost, using the rates in lib/ai/pricing.ts. Break down by input, output, cache read and cache write, since cache write is the dominant line on agentic paths.",,Phase 1.5,Ready,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables. MOVED TO PHASE 1.5 2026-09-05 on the owner's instruction."
JSV2S1131,Insights,AI Usage Analytics,Usage & Cost Analytics,AI Spend,[Functional] Track Gemini API spend,"Aggregate Gemini token usage into cost including Google Search grounding requests, which are free to 5,000 a month and then billed per thousand.",,Phase 1.5,Completed,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables. MOVED TO PHASE 1.5 2026-09-05 on the owner's instruction. GROUNDING MUST BE TRACKED EXPLICITLY, not folded into token cost: it is billed PER REQUEST, not per token, free to 5,000/month and billed per thousand after. features/ai/cost.ts already counts groundedRuns and computes groundingUsdIfBillable but does NOT add it to totalUsd, because inside the free allowance it genuinely costs zero - so the running total is honest only while the allowance holds. Once month-to-date grounding requests are tracked (this story), the total must switch to billing them above 5,000. Until then the workspace understates cost for any month that crosses the threshold. Pairs with JSV2S1146, which may remove grounding from scoring entirely. PARTIALLY BUILT 2026-09-05: features/ai/grounding.ts (pure) + getGroundingUsage() count month-to-date grounded requests against the 5,000 free allowance and surface a meter in the cost card - used/free, warn at 80%, and the MARGINAL cost of the next request, which is zero inside the allowance and $0.014 outside it. 6 unit tests. STILL OPEN: totalUsd does not yet add billable grounding once the allowance is crossed, and Gemini token spend is not yet aggregated per model. COMPLETED 2026-09-05. The two gaps are closed. (1) BILLABLE GROUNDING IS NOW IN THE TOTAL: billableGroundedRunIds() orders the month's grounded runs by finish time and treats everything past the 5,000th as billed, so billability is a property of a run's POSITION IN THE MONTH rather than of the run - the same application legitimately costs more in a month where it lands past the allowance. Computed once per page and shared by the detail view and the batched list query, so the two can never disagree. A run with no finishedAt sorts last, i.e. billed only if the allowance has already gone - the conservative reading. (2) Gemini token spend per model was already covered by byModel. 10 unit tests. The card now states plainly whether grounding added anything or fell inside the allowance."
JSV2S1132,Insights,AI Usage Analytics,Usage & Cost Analytics,AI Spend,[Functional] Cost per application and per outcome,"Report total AI cost to take one job from upload to submitted application, and cost per shortlist and per interview once outcomes exist, so spend is judged against results rather than volume.",,Phase 1.5,Completed,"Built 2026-09-03. features/ai/cost.ts (pure) + queries.ts (db) + components/applications/ai-cost.tsx, wired into the workspace sidebar. 6 unit tests. Cost derived at read time from ai_jobs.usage via pricing.ts; unrated models are excluded and flagged, never priced at zero. NOT yet seen against real data. 2026-09-05: scope widened - ""cost per application"" must include Apify ingestion spend once JSV2S1144 lands, otherwise the headline number understates what an application actually costs. VALIDATED 2026-09-05 BY UAT AGAINST REAL DATA - the ""NOT yet seen against real data"" caveat above is now discharged. The owner ran a live generation, read the per-run costs and the scoring / documents / SimG split with the model printed beside each figure, and confirmed it. Since then the total also includes per-request Google Search grounding for runs past the monthly free allowance (JSV2S1131), so it no longer understates spend in a month that crosses 5,000."
JSV2S1133,Insights,AI Usage Analytics,Usage & Cost Analytics,Data Analytics,[Functional] Track data growth and retention,"Report row and byte growth per table over time, projecting when free-tier limits are reached, and identify what can be archived - raw payloads and superseded document versions being the obvious candidates.",,Phase 3,Not Started,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables."
JSV2S1134,Insights,AI Usage Analytics,Usage & Cost Analytics,Dashboard,[Functional] AI usage and cost dashboard,"Consolidated view of infrastructure, data, AI usage and spend, with month-to-date totals, per-provider split and threshold warnings.",,Phase 1.5,Review,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables. MOVED TO PHASE 1.5 2026-09-05: the owner wants this module built - ""it is going to provide a lot of analytics and information on the Infra and AI usage and limits to be aware of, rather than running it carelessly."" Must cover BOTH halves: measured spend (JSV2S1130, 1131, 1144) and the configured caps those providers enforce (JSV2S1148). A dashboard that shows spend without the ceiling it is approaching answers half the question. BUILT 2026-09-18. /spend, card layout, date-range filter in the URL. Headline: total, cost per application, cost per job, run counts. Split: Job scoring / CV + cover letter / SimG / Apify fetch, each with share and per-run average. THREE PRICING MODELS IN ONE VIEW - AI per token, Apify per result, grounding per request against a monthly allowance - which is why this is separate from features/ai/cost.ts. COST PER APPLICATION DIVIDES BY PROCESSED APPLICATIONS, not all of them: most of the corpus was backfilled and never scored, so dividing by every application reported $0.09 when the marginal cost is far higher. Both figures are shown so neither misleads alone. Caveats are stated on the page rather than hidden - unmeasured runs, unrated models, and grounding inside its free allowance."
JSV2S1135,Insights,AI Usage Analytics,Usage & Cost Analytics,Model Performance,[Functional] Compare providers on cost and quality,"Compare providers and models on the same job: tokens, latency, cost and score agreement. Extends the ai:bench harness so routing decisions stay evidence-based as models change.",,Phase 3,Not Started,"Raised 2026-09-02. Foundations exist: ai_jobs.usage already records measured tokens per run, and lib/ai/pricing.ts holds the rate tables."
JSV2S1136,Ingestion,Job Ingestion,Scheduler,Pipeline Orchestration,[Platform] Orchestrate pre-qualified jobs into automated scoring,"Drive a qualified job through to a stored score without a button press: select jobs that passed pre-qualification and have no score, call the existing enqueueTask/settleAiJobs path per job, and record the outcome against the ingestion run. Must be idempotent and resumable - a run that dies halfway is re-runnable without double-scoring or double-charging. Document generation is deliberately NOT triggered here.",,Phase 1.5,Review,"BUILT 2026-09-04. features/pipeline/orchestrator.ts. Selects pre-qualified unscored jobs, checks the budget BEFORE each call, isolates failures, retries only transient errors. Deliberately does not generate documents. The prequalification='pass' join is load-bearing: manual uploads create applications whatever their verdict."
JSV2S1137,Insights,AI Usage Analytics,Usage & Cost Analytics,Spend Control,[Functional] Daily AI spend ceiling that halts the automated run,"A configured daily and monthly cost ceiling, computed from ai_jobs.usage via lib/ai/pricing.ts, that stops the automated scoring loop rather than only warning. Manual generation from the workspace stays available above the ceiling; only unattended spend is capped.",,Phase 1.5,Review,"DECIDED + BUILT 2026-09-04: $3/day, $50/month. features/ai/budget.ts (pure) + budget-queries.ts. Checked before each call, not after. NOTE: at 14% pass rate and 330 jobs/night the MONTHLY ceiling is the binding one - see CHECKPOINT. 2026-09-05: OPEN - the ceiling currently counts AI spend only. Decide whether Apify spend counts against the same ceiling or gets its own (JSV2S1144). If it shares the ceiling, an expensive fetch can starve scoring. CEILING CONFLICT RAISED 2026-09-18. The owner's volume plan - 6 locations, ~1500 jobs/day, ~75 passes - implies roughly $9/day in scoring alone at the MEASURED $0.12 per ScoreG run, before any document generation. SPEND_CEILING is $3/day and $50/month, so the guard would halt the run partway through day one. Either the ceiling rises or the volume falls; they cannot both stand. NEEDS THE OWNER'S DECISION."
JSV2S1138,Insights,Application Management,Application Dashboard,Preferred Locations,[Functional] Identify and highlight preferred cities,"Resolve a posting's city from free-text location, map it to a country and region, and flag the cities Bharath actively wants to work in - London, Manchester, Dublin, Berlin, Amsterdam, Stockholm, Lisboa, Barcelona, Paris, Dubai, Abu Dhabi. Highlight them on the applications list, the review queue and the workspace. A non-preferred city in a target country still qualifies; preference is a highlight, not a filter.",,Phase 1.5,Completed,"Raised and built 2026-09-04. Nothing in the backlog covered it. Aliases handle Lisboa/Lisbon and Munchen/Munich; ambiguous names (Dublin Ohio, Manchester NH) never outrank an explicit country. VALIDATED 2026-09-05 against live data: all 14 real applications resolve a preferred city, handling both ""London Area, United Kingdom"" and ""London, England, United Kingdom"". CAVEAT: live data is 100% London, so only that city is exercised end to end - the Lisboa/Lisbon and Munchen/Munich aliases and the Dublin-Ohio disambiguation remain unit-tested only, and will not be seen for real until ingestion covers more locations."
JSV2S1139,Applications,Application Management,Application Dashboard,Application Detail Screen,[Frontend] Rebuild the application detail screen to the approved design,"Rebuild /applications/[id] to the approved design: the score as the single result on the page, four summary figures, the holding/failing basis, the generated material, the SimG worklist, and low-frequency detail behind ""on need"" disclosures rather than always on screen.",,Phase 1.5,Review,"NIGHT BATCH. Raised 2026-09-05 from the design supplied by the user (JobScan Nocturnal). Depends on JSV2S1140 for the deduction ledger and JSV2S1142 for the cost strip. The design does NOT cover AI cost - that is added, not inferred from it. BUILT 2026-09-18 ON A BRANCH, redesign/detail-screen, at the owner's request so it can be discarded without losing anything - main keeps the screen already tested. Single column, score as the one result at the centre, then the four figures behind it, the arithmetic on request, the holding/failing basis, the material, SimG, and low-frequency detail behind ""on need"" disclosures. NOTHING WAS REMOVED - the job facts, status, referral, attempts, timeline, document versions and AI cost are all still present, one click further away instead of competing for attention in a sidebar. The verdict is stated in words as well as a number, derived in code from the score so it cannot drift from what the model said. The standing bar keeps status and the badges in reach whatever is scrolled."
JSV2S1140,Applications,Application Management,Application Dashboard,Application Detail Screen,[Frontend] Render the score as a running deduction ledger,"Show how the score was reached: every point starts on the table and is deducted, with one row per scored sub-component, the points lost, the running total, and the guardrail and lever that would change it.",,Phase 1.5,Review,"BUILT 2026-09-05 (night batch). The score rendered as a running deduction: every point starts on the table and is lost to a named rule, because a total invites argument while an itemised deduction says which rule to attack. Pillar weights live in config/scoreg.ts as TS-as-data mirroring prompts/scoreg/SKILL.md (visa .50 / resume .30 / relevance .20), held there rather than parsed from the model's finalCalculation string so the ledger still works when the model phrases its arithmetic differently or omits it. Reads job_score_analysis.breakdown - NO new AI call, no new column. Verified against the design's own worked example: a visa pillar at 30/100 loses 35 points and takes the running total to 65. RECONCILIATION IS SURFACED, NOT HIDDEN: if the ledger does not sum to the stored score the UI says so and advises regenerating, because the model contradicting its own itemisation is a real finding. An unrecognised pillar is skipped rather than forced into a bucket, and a breakdown that cannot support a ledger returns null - a partial deduction table that does not add up is worse than none, because it looks authoritative. 9 unit tests."
JSV2S1141,Applications,Application Management,Application Dashboard,Unified Application Workspace,[Frontend] Surface AI cost in the application list view,"Show what each application has cost in AI on the list, so spend is visible while triaging rather than only after opening one application.",,Phase 1.5,Completed,"COMPLETED 2026-09-05. Spend per row in the list view plus a view total in the header. ONE batched query (getApplicationCosts) - per-row lookups would be an N+1 against a database on another continent. Uses the same pure summariseRuns as the detail view, so the two can never disagree."
JSV2S1142,Applications,Application Management,Application Dashboard,Application Detail Screen,[Frontend] Break AI cost down by task in the detail view,"Split the per-application AI cost by what produced it - job score, CV plus cover letter, and SimG - so the user can decide whether running SimG on every generation is worth its share.",,Phase 1.5,Completed,"COMPLETED 2026-09-05. Three buckets - Job scoring / CV + cover letter / SimG evaluation - plus SimG's percentage share and a pointer to SIMG_AUTOMATIC, which is what makes ""should I run SimG every time?"" answerable. TWO document lines, not three: one CVG call produces both the CV and the letter, so costing them apart would need two calls. That trade is the user's to reverse and is listed for UAT sign-off."
JSV2S1143,Applications,Application Management,Application Dashboard,Application Detail Screen,[Frontend] Location artwork backdrop per application,"Associate a well-known European painting with each job location and use it as the faded backdrop of the application detail screen, so an application is recognisable by its city at a glance.",,Phase 1.5,Review,"BUILT 2026-09-05 (night batch). SCOPE WIDENED by the owner from European art to famous art worldwide. 34 public-domain paintings covering every city in config/prequalification/locations.ts plus global hubs - Turner for London, Rembrandt for Amsterdam, David for Paris, Hokusai for Tokyo, Ravi Varma for Mumbai, Tom Roberts for Sydney, Wang Ximeng for Singapore. Resolution is city, then country, then default, sharing the SAME alias lists as pre-qualification so Lisboa/Lisbon and Munchen/Munich cannot drift between the two. The default is deliberately non-European (Hokusai) so a remote job with no geography is not silently disguised as a London one. FETCHED, NOT HOTLINKED: scripts/fetch-artwork.mts downloads into /public, so the page has no third-party runtime dependency and no viewer browser calls Wikimedia. The script VERIFIES every file - content-type must be an image and the body over 10KB - and exits non-zero on failure. That caught 15 of 34 guessed Commons filenames returning 404 on the first run; all were corrected against the Commons search API. Re-fetched at 1000px rather than 1600px after the set came to 34MB: these render at 11% opacity behind text, and 34MB is permanent weight in git history. Now 15MB. PROXY: /artwork is excluded from the auth gate - public-domain paintings are not private, and gating them would spend a Vercel middleware invocation per image. 12 unit tests, including one asserting a downloaded file exists for every entry. NOT YET SEEN BY THE OWNER."
JSV2S1144,Insights,AI Usage Analytics,Usage & Cost Analytics,Ingestion Spend,[Functional] Capture and measure Apify actor spend alongside AI spend,"Record what each Apify run costs and attribute it to the jobs it produced, so total cost per application includes the ingestion cost that surfaced the job, not only the AI cost of scoring it.",,Phase 1.5,Review,"Raised 2026-09-05 on the user's instruction. Apify has a defined cost structure, so this is measurable rather than estimated. DESIGN POINT: ingestion cost is per RUN, AI cost is per APPLICATION - a run cost must be amortised across the jobs it yielded, and a night that surfaces 330 jobs of which 14% qualify makes the per-application ingestion cost roughly 7x the per-job cost. Report both, and never fold the two into one number silently. ingestion_runs already exists (migration 0005) and is the right place to stamp the cost. Depends on the Apify decisions in JSV2S1019. 2026-09-05: THE COST MODEL IS NOW KNOWN AND RECORDED in config/apify.ts, read from the actor API rather than the store page: PAY_PER_EVENT on the Free tier, $0.0004 per dataset item ($0.40/1K results) plus $0.001 per actor start, charged once per GB of memory. estimateFetchCostUsd() prices a plan before it runs. NOTE the start charge means a run that returns NOTHING still costs money, so ""fetched and found no new jobs"" is not free - the run ledger must record cost even for an empty run. Still to build: stamping actual cost onto ingestion_runs and amortising it across the jobs a run produced. BUILT 2026-09-18. Migration 0011 adds ingestion_runs.cost_usd, applied. STAMPED AT CLOSE, NOT DERIVED - the opposite choice to AI cost, deliberately. AI cost is derived from stored token counts so a rate correction applies to history; Apify publishes price changes and the actor rate WILL move, so re-pricing an old run would quietly rewrite what was actually billed. config/apify.ts carries the date its rates were read; the column carries the money. NULL means free, not zero - a manual upload costs nothing and a stamped zero would claim that had been measured. The ADAPTER reports its own cost rather than the caller computing it, because only the adapter knows its pricing model, and it prices on results RETURNED rather than the limit asked for: limit is a ceiling and charging it would overstate every run. COST PER APPLICATION is the figure that matters and is NOT the per-job cost - a run fetching ten jobs of which one qualifies costs ten results per application, so the per-application figure is roughly ten times per-job. Null while a run has produced no application rather than infinite. scripts/backfill-run-cost.mts priced the three pre-column Apify runs at $0.005 each, defensible only because both inputs are known facts: the result count is stamped and the rate has not moved since it was read."
